"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"17.1","2019-06-06"," 9:17:00 AM","2019-06-06"," 3:15:00 PM","PE","12000","Buy","25","27.00","140.35","","2833.75"
"17.2","2019-06-06"," 9:17:00 AM","2019-06-06"," 9:18:00 AM","PE","11950","Sell","25","9.40","11.30","","-47.50"
"18","2019-06-13"," 9:17:00 AM","2019-06-13"," 9:47:00 AM","","","","","","","14.23","-96.25"
"18.1","2019-06-13"," 9:17:00 AM","2019-06-13"," 9:22:00 AM","PE","11850","Buy","25","15.35","12.30","","-76.25"
"18.2","2019-06-13"," 9:17:00 AM","2019-06-13"," 9:47:00 AM","PE","11800","Sell","25","4.05","4.85","","-20.00"
"19","2019-06-20"," 9:17:00 AM","2019-06-20"," 9:46:00 AM","","","","","","","14.45","-91.25"
"19.1","2019-06-20"," 9:17:00 AM","2019-06-20"," 9:46:00 AM","PE","11650","Buy","25","13.00","10.40","","-65.00"
"19.2","2019-06-20"," 9:17:00 AM","2019-06-20"," 9:18:00 AM","PE","11600","Sell","25","5.20","6.25","","-26.25"
"20","2019-06-27"," 9:17:00 AM","2019-06-27"," 2:10:00 PM","","","","","","","14.45","-113.75"
"20.1","2019-06-27"," 9:17:00 AM","2019-06-27"," 9:20:00 AM","PE","11850","Buy","25","16.75","13.40","","-83.75"
"20.2","2019-06-27"," 9:17:00 AM","2019-06-27"," 2:10:00 PM","PE","11800","Sell","25","6.05","7.25","","-30.00"
"21","2019-07-04"," 9:17:00 AM","2019-07-04"," 3:15:00 PM","","","","","","","13.55","158.75"
"21.1","2019-07-04"," 9:17:00 AM","2019-07-04"," 9:29:00 AM","PE","11950","Buy","25","34.45","27.55","","-172.50"
"21.2","2019-07-04"," 9:17:00 AM","2019-07-04"," 3:15:00 PM","PE","11900","Sell","25","13.30","0.05","","331.25"
"22","2019-07-11"," 9:17:00 AM","2019-07-11"," 9:27:00 AM","","","","","","","12.81","-161.25"
"22.1","2019-07-11"," 9:17:00 AM","2019-07-11"," 9:20:00 AM","PE","11550","Buy","25","24.40","19.50","","-122.50"
"22.2","2019-07-11"," 9:17:00 AM","2019-07-11"," 9:27:00 AM","PE","11500","Sell","25","7.75","9.30","","-38.75"
"23","2019-07-18"," 9:17:00 AM","2019-07-18"," 9:23:00 AM","","","","","","","11.55","-93.75"
"23.1","2019-07-18"," 9:17:00 AM","2019-07-18"," 9:20:00 AM","PE","11650","Buy","25","15.10","12.10","","-75.00"
"23.2","2019-07-18"," 9:17:00 AM","2019-07-18"," 9:23:00 AM","PE","11600","Sell","25","3.75","4.50","","-18.75"
"24","2019-07-25"," 9:17:00 AM","2019-07-25"," 11:56:00 AM","","","","","","","13.36","-283.75"
