"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"10.3","2019-04-18"," 9:17:00 AM","2019-04-18"," 10:18:00 AM","CE","11900","Sell","25","1.35","0.20","","28.75"
"10.4","2019-04-18"," 9:17:00 AM","2019-04-18"," 10:18:00 AM","PE","11700","Sell","25","0.75","3.45","","-67.50"
"11","2019-04-25"," 9:17:00 AM","2019-04-25"," 9:21:00 AM","","","","","","","23.77","-33.75"
"11.1","2019-04-25"," 9:17:00 AM","2019-04-25"," 9:18:00 AM","CE","11900","Buy","25","0.10","0.10","","0.00"
"11.2","2019-04-25"," 9:17:00 AM","2019-04-25"," 9:20:00 AM","PE","11500","Buy","25","0.45","0.35","","-2.50"
"11.3","2019-04-25"," 9:17:00 AM","2019-04-25"," 9:21:00 AM","CE","11800","Sell","25","2.05","3.60","","-38.75"
"11.4","2019-04-25"," 9:17:00 AM","2019-04-25"," 9:21:00 AM","PE","11600","Sell","25","1.20","0.90","","7.50"
"12","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:26:00 AM","","","","","","","22.08","-53.75"
"12.1","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:18:00 AM","CE","11950","Buy","25","0.05","0.05","","0.00"
"12.2","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:19:00 AM","PE","11550","Buy","25","0.40","0.30","","-2.50"
"12.3","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:26:00 AM","CE","11850","Sell","25","0.65","0.55","","2.50"
"12.4","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:26:00 AM","PE","11650","Sell","25","3.80","5.95","","-53.75"
"13","2019-05-09"," 9:17:00 AM","2019-05-09"," 1:16:00 PM","","","","","","","26.07","123.75"
"13.1","2019-05-09"," 9:17:00 AM","2019-05-09"," 9:19:00 AM","CE","11500","Buy","25","0.90","0.70","","-5.00"
"13.2","2019-05-09"," 9:17:00 AM","2019-05-09"," 9:19:00 AM","PE","11100","Buy","25","0.25","0.20","","-1.25"
"13.3","2019-05-09"," 9:17:00 AM","2019-05-09"," 1:16:00 PM","CE","11400","Sell","25","7.00","0.85","","153.75"
"13.4","2019-05-09"," 9:17:00 AM","2019-05-09"," 1:16:00 PM","PE","11200","Sell","25","1.15","2.10","","-23.75"
"14","2019-05-16"," 9:17:00 AM","2019-05-16"," 1:44:00 PM","","","","","","","27.72","200.00"
"14.1","2019-05-16"," 9:17:00 AM","2019-05-16"," 9:23:00 AM","CE","11350","Buy","25","0.60","0.50","","-2.50"
"14.2","2019-05-16"," 9:17:00 AM","2019-05-16"," 9:18:00 AM","PE","10950","Buy","25","0.30","0.25","","-1.25"
"14.3","2019-05-16"," 9:17:00 AM","2019-05-16"," 1:44:00 PM","CE","11250","Sell","25","6.80","2.60","","105.00"
"14.4","2019-05-16"," 9:17:00 AM","2019-05-16"," 1:44:00 PM","PE","11050","Sell","25","4.90","0.95","","98.75"
